Metrics,Revolution Wind,CVOW C,Sunrise Wind,Kitty Hawk North,Marwin,Momentum Wind,Future Development,US Wind,Park City,Commonwealth,New England,Empire Wind 1,Empire Wind 2,Empire Wind,Atlantic Shores South 1,Atlantic Shores South 2,Atlantic Shores South,Mayflower Wind 1,Mayflower Wind 2,Mayflower Wind,Ocean Wind 1
# Turbines,79.0,176.0,102.0,69.0,21.0,55.0,38.0,114.0,50.0,78.0,128.0,54.0,85.0,139.0,136.0,64.0,200.0,80.0,67.0,147.0,98.0
Turbine Rating (MW),11.0,15.0,11.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,12.0
Project Capacity (MW),869.0,2640.0,1122.0,1035.0,315.0,825.0,570.0,1710.0,800.0,1248.0,2048.0,810.0,1275.0,2085.0,2040.0,960.0,3000.0,1200.0,1005.0,2205.0,1176.0
# OSS,2.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0
Total Export Cable Length (km),229.0341,594.25776,394.09504,294.10479,58.02504,116.05008,116.05008,232.10016,330.1533,440.2044,770.3577,225.1047,315.1745,540.2792000000001,250.1218,354.07308,604.19488,276.15177,312.10118,588.25295,237.0791452956
Total Array Cable Length (km),186.9965011417437,354.9486935037968,296.39299729360744,251.13957985476532,34.98996342800848,100.70030692415952,71.94020882411014,200.5584031751196,142.09218028532092,201.3541756062076,343.4463558915285,144.66032188428366,165.6435996491649,310.30392153800005,233.13510522873705,101.4056387846453,346.68734406120893,227.11298476988367,159.8160304387548,386.9290152086386,208.0795874943121
FCR (%),0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582
Offtake Price ($/MWh),99.03,89.06,83.3,89.06,131.9,71.6,86.7,86.7,79.8,72.0,75.07,83.3,107.5,97.99,58.8,58.8,58.8,58.4,77.0,64.56,116.8
CapEx ($),2994396587.804679,7813031773.101726,3751881179.4307714,3591735599.640486,1106039758.1098108,2577120805.9139824,1906470115.578827,5192854896.015973,2782692391.903181,4145146082.053106,6761130068.598885,2566363303.000787,3953159331.525256,6319721993.771889,6091033074.088692,3344872843.896117,9324020799.41842,4324859019.634207,3498635149.34997,7452923652.675224,3778849941.333252
CapEx per kW ($/kW),3445.7958432735086,2959.481732235502,3343.9226198135216,3470.275941681629,3511.237327332733,3123.7827950472515,3344.684413296188,3036.757249132148,3478.3654898789764,3321.431155491271,3301.333041308049,3168.349756791095,3100.5171227649066,3031.041723631601,2985.8005265140646,3484.242545725122,3108.0069331394734,3604.0491830285055,3481.2290043283283,3380.0107268368365,3213.3077732425613
System CapEx for Export Cables ($),389357970.00000006,505119096.0,197047520.0,499978143.0,98642568.0,197285136.0,197285136.0,394570272.0,280630305.0,374173740.0,654804045.0,191338995.0,267898325.00000003,459237320.0,425207060.0,601924236.0,1027131296.0,469458009.0,156050590.0,625508599.0,403034547.0025199
Installation CapEx for Export Cables ($),19491941.849867333,29822186.63800744,11797577.524956502,29851871.117755294,12246417.019980105,15865772.196124207,15865772.196124207,22794893.50731652,31124165.85425888,35679524.72531307,53192245.1740921,10387948.754913636,19940423.65246305,30328372.407376684,27549848.04533667,32590114.423219256,60139962.46855593,29094918.304101244,13722100.9881191,42817019.29222034,25754444.827258386
CapEx Without Export Cables ($),2585546675.954812,7278090490.463718,3543036081.905814,3061905585.5227304,995150773.0898308,2363969897.7178583,1693319207.3827024,4775489730.5086565,2470937921.048922,3735292817.327793,6053133778.424792,2364636359.245873,3665320582.872793,5830156301.364512,5638276166.043355,2710358493.472898,8236749540.949865,3826306092.330105,3328862458.3618507,6784598034.383004,3350060949.5034738
OpEx ($),1318220249.8385122,1780269423.3567078,1537556762.7669709,1224412482.1536582,911686782.8530807,1454438390.754458,1254221590.4896812,1729583938.297869,1123635119.3170774,1430446937.096173,1691011577.269057,1121036625.9071932,1310301101.484229,1684569763.713713,1786574043.2814362,1254561801.480105,1961905108.9125688,1855284222.190479,1576624345.47935,2074591029.9834504,1776457716.3631032
OpEx per kW ($/kW),1516.9392978578967,674.3444785442075,1370.3714463163733,1183.0072291339693,2894.243755089145,1762.9556251569188,2200.3887552450547,1011.4525954958298,1404.5438991463468,1146.1914560065488,825.6892467134068,1383.995834453325,1027.6871384190033,807.9471288794787,875.7715898438413,1306.8352098751093,653.968369637523,1546.0701851587326,1568.7804432630348,940.8576099698188,1510.5932962271286
Annual OpEx per kW ($/kW),72.23520465989984,32.111641835438455,65.25578315792254,56.33367757780806,137.8211311947212,83.95026786461518,104.78041691643118,48.16440930932523,66.8830428164927,54.580545524121376,39.31853555778128,65.90456354539643,48.9374827818573,38.4736728037847,41.70340904018292,62.23024808929092,31.14135093512014,73.62238976946345,74.70383063157308,44.80274333189613,71.93301410605375
Energy Availability (%),0.9488981049936984,0.949770323339086,0.9434073589219591,0.9415500838921752,0.905267687800314,0.9074085361124202,0.9099763287154428,0.927203599058384,0.946477474969175,0.944008910113312,0.9419894310933205,0.958657020418222,0.953920352111708,0.9504781268130732,0.9361838190136832,0.945159968219311,0.9507858846681078,0.918678997121839,0.9154914046444,0.9384288764634228,0.9191328720193918
Gross Capacity Factor (%),0.5270694879247245,0.4259231747210991,0.5207476927122886,0.4587710208540316,0.486681670885712,0.3546867145871445,0.3610731985748662,0.3484912993929096,0.5242122899544727,0.5101256106657875,0.5162526001131912,0.3812082987006451,0.4098311587307261,0.3574025152861778,0.4012465370959006,0.4103349687652461,0.3934901124507279,0.5237046426169198,0.527592351936504,0.5189710157666646,0.4740659203516887
